customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00050,Male,0,No,No,65,Yes,No,DSL,Yes,Yes,Two year,Yes,Electronic check,111.57,6407.67,No
CUST-00051,Female,0,Yes,Yes,7,Yes,No,No,No,No,Two year,Yes,Mailed check,19.58,8200.48,No
CUST-00052,Male,0,Yes,Yes,58,Yes,Yes,Fiber optic,No,No,Two year,No,Mailed check,63.08,3819.89,No
CUST-00053,Female,1,No,No,24,Yes,No phone service,Fiber optic,No internet service,No,Month-to-month,No,Credit card,108.75,7867.13,Yes
CUST-00054,Male,0,No,Yes,4,No,No,No,No,No,Month-to-month,Yes,Bank transfer,87.6,1936.89,No
CUST-00055,Female,0,No,No,44,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Mailed check,88.4,284.05,Yes
CUST-00056,Female,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,Two year,Yes,Mailed check,33.65,1104.52,No
CUST-00057,Male,0,Yes,No,41,Yes,Yes,DSL,No internet service,No,Two year,Yes,Mailed check,76.21,1377.22,Yes
CUST-00058,Male,0,No,No,37,Yes,No,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,114.69,7010.79,No
CUST-00059,Male,0,Yes,No,2,Yes,Yes,DSL,No internet service,No internet service,Two year,No,Bank transfer,39.15,3419.36,Yes
CUST-00060,Male,0,Yes,Yes,45,Yes,Yes,No,No internet service,No,Two year,Yes,Bank transfer,50.72,1995.82,No
CUST-00061,Male,0,Yes,No,21,Yes,No phone service,Fiber optic,Yes,Yes,Month-to-month,No,Credit card,56.86,6907.68,Yes
CUST-00062,Male,0,No,No,32,Yes,No,No,No,No,One year,No,Electronic check,53.99,1732.42,Yes
CUST-00063,Male,0,Yes,No,31,Yes,Yes,DSL,No,No,Month-to-month,No,Credit card,80.7,678.54,No
CUST-00064,Male,0,No,No,16,Yes,Yes,DSL,No,No,Two year,No,Mailed check,41.46,3972.23,No
CUST-00065,Female,0,No,No,55,Yes,No,Fiber optic,No,No,Month-to-month,Yes,Credit card,68.57,606.71,No
CUST-00066,Female,0,No,No,2,Yes,No phone service,DSL,No,Yes,Two year,Yes,Mailed check,58.02,2383.95,No
CUST-00067,Male,1,Yes,No,69,Yes,No,DSL,Yes,No,Month-to-month,Yes,Credit card,82.45,5958.25,Yes
CUST-00068,Female,1,Yes,No,48,Yes,No,No,No internet service,No,Two year,No,Credit card,42.19,3194.78,No
CUST-00069,Female,0,No,No,54,Yes,Yes,DSL,No,Yes,One year,Yes,Credit card,73.31,759.98,No
CUST-00070,Female,0,No,Yes,30,Yes,No,Fiber optic,No,No internet service,Two year,Yes,Bank transfer,92.04,3436.19,No
CUST-00071,Female,0,No,No,20,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card,87.3,4370.48,No
CUST-00072,Male,0,No,No,15,Yes,No,DSL,No,No internet service,Month-to-month,Yes,Bank transfer,101.43,2140.43,No
CUST-00073,Female,1,No,No,16,Yes,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Bank transfer,113.62,1467.5,Yes
CUST-00074,Male,0,No,Yes,0,Yes,No,No,No,No,Month-to-month,No,Credit card,103.4,6478.52,No
CUST-00075,Female,1,Yes,No,71,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,111.82,593.39,No
CUST-00076,Female,1,Yes,No,64,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Bank transfer,19.75,8134.15,No
CUST-00077,Female,0,No,No,65,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Credit card,80.89,82.45,No
CUST-00078,Male,0,Yes,No,36,Yes,Yes,DSL,No internet service,Yes,Two year,Yes,Credit card,44.77,5541.84,No
CUST-00079,Female,0,No,No,23,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Mailed check,98.9,1151.22,Yes
CUST-00080,Male,1,Yes,No,61,Yes,No phone service,Fiber optic,No,No,Two year,Yes,Bank transfer,99.9,4658.48,No
CUST-00081,Female,0,No,Yes,20,Yes,No,Fiber optic,Yes,No,Two year,Yes,Mailed check,22.78,1606.76,No
CUST-00082,Male,1,Yes,Yes,36,Yes,No,Fiber optic,No internet service,No,Month-to-month,No,Electronic check,77.56,309.12,No
CUST-00083,Female,0,Yes,Yes,34,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Bank transfer,103.09,7310.54,No
CUST-00084,Male,0,No,Yes,37,No,Yes,No,No,No internet service,Month-to-month,No,Electronic check,76.74,3613.81,No
CUST-00085,Male,1,Yes,No,52,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Credit card,60.55,2352.42,No
CUST-00086,Female,0,Yes,No,14,Yes,No phone service,No,No internet service,No,One year,No,Bank transfer,25.68,8052.76,No
CUST-00087,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Bank transfer,91.03,713.44,Yes
CUST-00088,Female,0,No,No,3,Yes,No phone service,Fiber optic,No,Yes,Month-to-month,No,Mailed check,25.46,2974.08,Yes
CUST-00089,Female,0,No,No,38,Yes,Yes,Fiber optic,Yes,No,Two year,No,Electronic check,77.79,1522.4,Yes
CUST-00090,Female,0,No,No,22,Yes,Yes,Fiber optic,No internet service,No internet service,One year,Yes,Mailed check,109.76,8425.32,No
CUST-00091,Female,0,Yes,No,14,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Credit card,59.91,4649.34,Yes
CUST-00092,Female,1,No,Yes,11,Yes,No phone service,No,No,No,Two year,Yes,Mailed check,95.02,6907.26,No
CUST-00093,Female,1,Yes,No,69,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,97.98,1405.1,No
CUST-00094,Female,0,No,Yes,53,Yes,No,Fiber optic,Yes,No,One year,Yes,Mailed check,19.03,2600.21,Yes
CUST-00095,Female,0,No,No,37,Yes,Yes,No,No,No internet service,Month-to-month,No,Bank transfer,109.49,5273.49,Yes
CUST-00096,Female,0,No,No,27,Yes,Yes,Fiber optic,Yes,No,One year,Yes,Credit card,36.88,1528.05,No
CUST-00097,Female,0,No,No,18,Yes,No,DSL,No,No,One year,No,Credit card,46.27,4259.53,No
CUST-00098,Female,1,No,Yes,68,Yes,Yes,Fiber optic,No internet service,Yes,Month-to-month,No,Mailed check,105.08,7919.95,Yes
CUST-00099,Male,0,No,No,63,Yes,Yes,DSL,Yes,Yes,One year,No,Bank transfer,86.66,7908.4,No
CUST-00100,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Bank transfer,55.19,3028.1,Yes
CUST-00101,Female,0,No,Yes,9,Yes,Yes,No,No,No,One year,No,Mailed check,26.79,4395.92,Yes
CUST-00102,Female,0,Yes,Yes,11,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card,56.62,1700.9,Yes
CUST-00103,Female,0,Yes,No,68,Yes,No,Fiber optic,No,No,Two year,No,Bank transfer,114.63,8317.78,Yes
CUST-00104,Female,0,Yes,Yes,6,No,No,No,No,No,Month-to-month,No,Electronic check,28.46,4427.55,Yes
CUST-00105,Female,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,102.61,1767.95,Yes
CUST-00106,Female,0,Yes,No,22,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,Credit card,50.53,7183.27,No
CUST-00107,Female,0,No,No,1,No,Yes,No,Yes,No,Month-to-month,No,Credit card,83.46,3583.61,Yes
CUST-00108,Female,0,Yes,Yes,36,Yes,No,Fiber optic,No,No internet service,Two year,No,Credit card,81.15,5413.71,No
CUST-00109,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,No,Two year,No,Electronic check,50.56,7173.14,No
CUST-00110,Female,0,No,No,19,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,23.43,2640.66,Yes
CUST-00111,Male,0,Yes,Yes,43,Yes,Yes,DSL,No,No,Month-to-month,No,Bank transfer,32.88,4919.79,No
CUST-00112,Female,0,No,Yes,69,Yes,No,No,No,No,Two year,Yes,Credit card,74.58,494.01,No
CUST-00113,Female,0,No,Yes,50,Yes,No,Fiber optic,No,No,Two year,Yes,Bank transfer,112.89,2007.4,No
CUST-00114,Male,0,No,No,30,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,110.58,1194.93,Yes
CUST-00115,Female,1,No,No,40,Yes,No,Fiber optic,Yes,No,One year,Yes,Electronic check,29.35,5482.03,No
CUST-00116,Male,1,Yes,Yes,57,Yes,No,DSL,No,Yes,Two year,No,Electronic check,105.52,2177.98,No
CUST-00117,Female,0,Yes,No,4,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,41.38,6464.2,Yes
CUST-00118,Female,1,Yes,No,32,No,No,Fiber optic,Yes,Yes,One year,Yes,Bank transfer,108.99,6473.96,No
CUST-00119,Male,0,No,No,42,Yes,Yes,DSL,Yes,Yes,One year,Yes,Electronic check,93.85,6669.96,No
CUST-00120,Female,0,Yes,No,18,Yes,No phone service,No,No,No internet service,One year,No,Electronic check,114.13,1142.95,No
CUST-00121,Male,0,Yes,Yes,31,Yes,No,Fiber optic,No,No,Month-to-month,No,Credit card,62.17,4479.94,Yes
CUST-00122,Female,0,Yes,Yes,2,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,91.16,5778.13,Yes
CUST-00123,Male,0,No,No,0,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,91.53,2755.77,No
CUST-00124,Male,0,Yes,Yes,40,Yes,No,DSL,No internet service,No internet service,Month-to-month,No,Bank transfer,67.62,2223.86,No
CUST-00125,Female,0,No,No,47,Yes,No phone service,Fiber optic,No,Yes,Month-to-month,No,Electronic check,115.45,6107.71,No
CUST-00126,Female,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,42.37,2997.7,Yes
CUST-00127,Male,0,Yes,No,4,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,116.62,2129.0,No
CUST-00128,Female,1,Yes,No,10,Yes,No phone service,Fiber optic,No,No,Month-to-month,No,Electronic check,99.21,4792.59,Yes
CUST-00129,Female,0,No,No,21,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card,79.61,5280.11,No
CUST-00130,Female,0,No,No,63,Yes,No,Fiber optic,No internet service,No,Two year,No,Electronic check,25.56,6606.84,Yes
CUST-00131,Male,0,Yes,No,11,Yes,No,DSL,No,No internet service,Two year,Yes,Electronic check,43.94,365.17,No
CUST-00132,Male,0,Yes,No,52,Yes,No,DSL,No internet service,No,Month-to-month,Yes,Mailed check,102.13,1498.01,No
CUST-00133,Male,0,No,No,54,Yes,No,Fiber optic,No,Yes,Month-to-month,No,Mailed check,90.82,6610.63,Yes
CUST-00134,Male,0,Yes,No,52,Yes,No,No,No,No,Two year,Yes,Electronic check,114.27,4529.33,No
CUST-00135,Male,0,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,One year,Yes,Electronic check,57.68,6855.13,No
CUST-00136,Male,0,Yes,Yes,18,Yes,No,No,No,No internet service,One year,No,Electronic check,107.45,3822.4,No
CUST-00137,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,Electronic check,104.18,3914.5,Yes
CUST-00138,Male,0,Yes,No,71,Yes,Yes,DSL,Yes,No,Month-to-month,No,Bank transfer,114.61,3220.53,No
CUST-00139,Male,0,Yes,No,65,Yes,No,No,Yes,No,Two year,Yes,Mailed check,45.25,5880.72,No
CUST-00140,Female,0,Yes,No,58,Yes,Yes,Fiber optic,No internet service,No,Two year,Yes,Credit card,67.45,5024.14,No
CUST-00141,Male,0,No,Yes,48,Yes,Yes,Fiber optic,No internet service,No,Month-to-month,Yes,Bank transfer,26.1,3349.14,No
CUST-00142,Female,0,Yes,No,58,Yes,Yes,DSL,No internet service,Yes,One year,No,Bank transfer,77.09,1608.78,No
CUST-00143,Female,1,No,No,22,Yes,No,DSL,No internet service,No,Month-to-month,No,Bank transfer,91.23,38.32,Yes
CUST-00144,Female,1,Yes,No,2,Yes,Yes,Fiber optic,No,No,One year,Yes,Bank transfer,41.8,792.83,No
CUST-00145,Male,1,No,No,55,Yes,No,No,No internet service,No,Month-to-month,Yes,Electronic check,34.97,932.7,Yes
CUST-00146,Male,0,Yes,No,57,No,Yes,DSL,No,Yes,Month-to-month,Yes,Electronic check,81.95,4847.53,Yes
CUST-00147,Male,0,No,No,61,Yes,Yes,No,No,No internet service,One year,No,Credit card,57.31,6457.52,No
CUST-00148,Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,Two year,Yes,Credit card,60.66,3893.26,Yes
CUST-00149,Female,0,No,No,60,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,65.11,3531.75,No
CUST-00150,Male,0,Yes,No,36,Yes,No,No,No internet service,No,Two year,No,Electronic check,69.15,1138.58,No
CUST-00151,Male,0,Yes,Yes,53,Yes,Yes,DSL,Yes,No,Month-to-month,No,Mailed check,37.55,7660.39,No
CUST-00152,Male,1,No,No,64,Yes,No,No,No internet service,No,One year,No,Credit card,75.77,6253.97,No
CUST-00153,Male,0,No,No,13,Yes,No,No,No internet service,No,Two year,Yes,Mailed check,24.91,3554.24,No
CUST-00154,Male,1,Yes,No,4,Yes,Yes,DSL,No,No,Month-to-month,No,Credit card,29.35,840.88,Yes
CUST-00155,Female,0,No,No,61,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,Electronic check,89.15,7194.49,Yes
CUST-00156,Male,0,Yes,No,0,Yes,No,DSL,No,Yes,Month-to-month,No,Credit card,91.14,1456.82,Yes
CUST-00157,Female,0,Yes,No,62,Yes,No,Fiber optic,Yes,Yes,One year,Yes,Electronic check,44.63,5729.61,No
CUST-00158,Male,0,No,No,66,Yes,No,Fiber optic,Yes,Yes,Two year,No,Electronic check,36.47,2898.56,No
CUST-00159,Female,0,Yes,No,19,Yes,Yes,No,No,Yes,One year,No,Electronic check,23.4,7308.74,Yes
CUST-00160,Male,0,No,Yes,42,Yes,No,Fiber optic,No,Yes,Two year,Yes,Electronic check,59.89,4996.47,No
CUST-00161,Male,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,Month-to-month,Yes,Mailed check,68.9,1946.73,No
CUST-00162,Female,0,No,Yes,68,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Mailed check,107.95,125.42,Yes
CUST-00163,Female,1,No,Yes,38,Yes,Yes,Fiber optic,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,1819.22,Yes
CUST-00164,Female,0,No,No,61,Yes,Yes,DSL,No,No,One year,Yes,Mailed check,58.59,3116.78,No
CUST-00165,Male,1,No,No,47,Yes,No,DSL,No internet service,Yes,Month-to-month,Yes,Mailed check,59.93,6026.52,Yes
CUST-00166,Female,0,Yes,Yes,5,Yes,Yes,DSL,Yes,No,Two year,No,Credit card,106.66,1851.06,Yes
CUST-00167,Male,0,No,No,41,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer,37.6,2236.08,No
CUST-00168,Male,0,Yes,No,57,Yes,Yes,DSL,No,No,Month-to-month,Yes,Electronic check,24.62,3708.52,Yes
CUST-00169,Female,0,No,Yes,42,Yes,Yes,Fiber optic,No,No,Month-to-month,No,Electronic check,56.16,382.06,Yes
CUST-00170,Female,0,No,No,9,Yes,No,DSL,Yes,No internet service,One year,Yes,Credit card,79.23,6535.58,Yes
CUST-00171,Male,0,No,No,38,Yes,No,No,No internet service,Yes,One year,Yes,Mailed check,103.81,686.0,No
CUST-00172,Male,0,No,No,12,Yes,No,DSL,No internet service,No,One year,No,Credit card,44.9,6269.39,No
CUST-00173,Female,0,Yes,No,38,Yes,Yes,Fiber optic,Yes,No internet service,Two year,No,Mailed check,43.13,2290.86,No
CUST-00174,Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,No internet service,Two year,Yes,Credit card,50.6,3919.13,No
CUST-00175,Female,0,Yes,No,15,Yes,Yes,DSL,No,Yes,Month-to-month,No,Mailed check,29.82,3498.98,Yes
CUST-00176,Male,0,No,No,32,Yes,No,DSL,No internet service,No internet service,Month-to-month,Yes,Mailed check,115.72,2166.16,No
CUST-00177,Male,0,Yes,No,59,Yes,Yes,DSL,No,Yes,Month-to-month,No,Credit card,72.06,2186.96,Yes
CUST-00178,Male,0,No,No,58,Yes,No,Fiber optic,No,No internet service,Month-to-month,Yes,Electronic check,45.22,8067.84,No
CUST-00179,Male,0,Yes,No,50,Yes,No,No,No,Yes,Two year,No,Credit card,54.17,2609.01,No
CUST-00180,Male,0,No,Yes,14,Yes,No phone service,No,No,Yes,Month-to-month,Yes,Mailed check,104.6,1570.99,No
CUST-00181,Male,0,Yes,Yes,42,Yes,No phone service,DSL,No,Yes,One year,Yes,Mailed check,85.37,2142.68,No
CUST-00182,Female,0,No,No,26,Yes,No,No,No,No,One year,Yes,Electronic check,73.32,5914.7,No
CUST-00183,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,Month-to-month,No,Mailed check,90.48,2637.9,No
CUST-00184,Male,0,No,Yes,59,Yes,No,Fiber optic,No,No,One year,No,Credit card,93.58,1473.56,No
CUST-00185,Male,0,Yes,No,69,Yes,No,DSL,No,No,Two year,No,Bank transfer,37.42,3533.66,No
CUST-00186,Female,1,No,Yes,46,Yes,No,DSL,No internet service,No,Month-to-month,No,Electronic check,33.87,1015.03,Yes
CUST-00187,Male,0,Yes,Yes,7,Yes,Yes,Fiber optic,No internet service,No internet service,One year,No,Credit card,114.67,3399.48,Yes
CUST-00188,Male,0,No,Yes,62,Yes,No,No,No,Yes,One year,Yes,Mailed check,36.57,7331.36,No
CUST-00189,Female,0,Yes,No,6,Yes,Yes,DSL,No internet service,Yes,Two year,No,Mailed check,64.48,3181.04,Yes
CUST-00190,Male,0,No,No,1,Yes,No,Fiber optic,No,No,Month-to-month,No,Electronic check,116.28,4378.92,Yes
CUST-00191,Male,0,Yes,Yes,16,Yes,No,DSL,No,No,Two year,No,Credit card,59.72,6711.49,No
CUST-00192,Male,0,Yes,No,3,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,Mailed check,69.48,4394.5,Yes
CUST-00193,Male,0,No,Yes,25,Yes,No,No,No,No internet service,One year,Yes,Credit card,97.84,419.95,No
CUST-00194,Male,0,Yes,No,71,Yes,No,DSL,No internet service,Yes,Month-to-month,Yes,Credit card,52.04,1840.53,No
CUST-00195,Female,0,Yes,Yes,68,Yes,No,DSL,No,No,Month-to-month,Yes,Bank transfer,61.1,7603.14,No
CUST-00196,Female,0,No,No,4,Yes,No phone service,No,No,Yes,Month-to-month,Yes,Credit card,51.22,6822.13,No
CUST-00197,Female,1,No,No,4,Yes,No,Fiber optic,Yes,No internet service,One year,Yes,Bank transfer,46.74,6469.99,No
CUST-00198,Male,0,No,No,68,Yes,No,DSL,No,No,One year,Yes,Electronic check,65.18,4661.64,No
CUST-00199,Male,1,Yes,Yes,2,Yes,No,Fiber optic,No,No,Two year,No,Bank transfer,92.59,3014.36,No
CUST-00200,Male,0,Yes,Yes,37,Yes,No,Fiber optic,Yes,No internet service,Month-to-month,Yes,Credit card,104.73,5907.77,No
CUST-00201,Female,1,No,No,0,Yes,No phone service,Fiber optic,Yes,Yes,One year,Yes,Electronic check,65.01,5644.54,No
CUST-00202,Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Bank transfer,50.1,5469.9,Yes
CUST-00203,Male,0,No,No,12,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,109.16,4290.17,No
CUST-00204,Female,0,Yes,No,69,Yes,Yes,DSL,No,No,Month-to-month,Yes,Mailed check,51.59,2218.14,No
CUST-00205,Male,0,No,No,49,Yes,No,No,Yes,No,Month-to-month,No,Credit card,95.5,3711.33,Yes
CUST-00206,Female,0,No,No,7,Yes,No,DSL,No,No,Month-to-month,Yes,Mailed check,92.86,4361.78,Yes
CUST-00207,Female,0,No,No,29,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,22.98,1850.16,No
CUST-00208,Female,0,Yes,Yes,39,Yes,Yes,DSL,No,No,Month-to-month,Yes,Bank transfer,35.76,1969.33,Yes
CUST-00209,Male,0,No,No,32,Yes,No,No,No,Yes,Two year,Yes,Electronic check,75.28,6734.42,No
CUST-00210,Male,0,Yes,No,51,Yes,No phone service,No,No,No internet service,Month-to-month,No,Mailed check,104.76,2730.32,Yes
CUST-00211,Male,1,No,No,32,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,Credit card,77.4,8276.72,No
CUST-00212,Male,0,No,Yes,36,Yes,No,Fiber optic,No internet service,No,Month-to-month,Yes,Electronic check,92.27,3719.52,No
CUST-00213,Male,0,Yes,No,69,Yes,Yes,Fiber optic,No internet service,Yes,Two year,No,Mailed check,91.44,5181.42,Yes
CUST-00214,Male,0,Yes,No,68,Yes,No phone service,Fiber optic,Yes,No,Month-to-month,Yes,Electronic check,67.44,4292.43,Yes
CUST-00215,Male,1,No,No,3,Yes,No,Fiber optic,No,No,Two year,No,Electronic check,74.08,4200.67,Yes
